"Datatype 
","integer, decimal, string, datetime"
Keyword,"distinct, group, case, having, where, order, not, in, and, or, exists, partition, offset, cast, intersect, union, except, limit"
Functions,"sum, max, min, bit_and, bit_or, cube, upper, lower, cast, extract, stddev_pop, stddev_samp, var_pop, var_samp, abs, avg, count, variance, stdev 
"
Join,"left, inner, full"
